Date;1 mo;3 mo;6 mo;1 yr;2 yr;3 yr;5 yr;7 yr;10 yr
08/01/01;3.65;3.53;3.47;3.56;3.83;4.09;4.62;4.90;5.11
08/02/01;3.65;3.53;3.46;3.57;3.89;4.17;4.69;4.97;5.17
08/03/01;3.63;3.52;3.47;3.57;3.91;4.22;4.72;4.99;5.20
08/06/01;3.62;3.52;3.47;3.56;3.88;4.17;4.71;4.99;5.19
08/07/01;3.63;3.52;3.47;3.56;3.90;4.19;4.72;5.00;5.20
08/08/01;3.61;3.49;3.41;3.46;3.77;4.05;4.61;4.87;4.99
08/09/01;3.61;3.45;3.40;3.48;3.77;4.07;4.66;4.93;5.04
08/10/01;3.58;3.43;3.37;3.45;3.73;4.03;4.61;4.88;4.99
08/13/01;3.57;3.45;3.37;3.43;3.70;4.00;4.57;4.86;4.97
08/14/01;3.54;3.43;3.38;3.46;3.74;4.03;4.59;4.87;4.97
08/15/01;3.52;3.43;3.41;3.47;3.80;4.11;4.62;4.90;5.00
08/16/01;3.48;3.39;3.36;3.43;3.75;4.04;4.58;4.84;4.95
08/17/01;3.46;3.36;3.33;3.39;3.67;3.95;4.49;4.75;4.84
08/20/01;3.48;3.42;3.40;3.44;3.74;4.02;4.55;4.81;4.91
08/21/01;3.46;3.39;3.35;3.41;3.69;3.96;4.50;4.79;4.87
08/22/01;3.46;3.38;3.37;3.44;3.76;4.03;4.53;4.81;4.91
08/23/01;3.49;3.40;3.36;3.46;3.72;3.99;4.52;4.79;4.89
08/24/01;3.49;3.42;3.37;3.48;3.76;4.03;4.55;4.82;4.93
08/27/01;3.52;3.45;3.40;3.51;3.78;4.04;4.57;4.83;4.94
08/28/01;3.53;3.41;3.35;3.46;3.71;3.97;4.48;4.73;4.85
08/29/01;3.48;3.42;3.33;3.44;3.67;3.92;4.43;4.67;4.78
08/30/01;3.41;3.36;3.28;3.38;3.61;3.88;4.42;4.68;4.79
08/31/01;3.40;3.37;3.31;3.41;3.64;3.91;4.46;4.72;4.85
09/04/01;3.43;3.44;3.43;3.55;3.83;4.10;4.63;4.88;4.99
09/05/01;3.49;3.41;3.39;3.47;3.79;4.07;4.61;4.86;4.97
09/06/01;3.44;3.34;3.33;3.40;3.65;3.93;4.48;4.73;4.86
09/07/01;3.40;3.27;3.20;3.29;3.53;3.82;4.39;4.67;4.80
09/10/01;3.40;3.26;3.23;3.31;3.53;3.82;4.41;4.69;4.84
09/13/01;2.73;2.74;2.75;2.81;2.99;3.32;4.03;4.41;4.64
09/14/01;2.54;2.64;2.67;2.73;2.87;3.17;3.92;4.31;4.57
09/17/01;2.47;2.59;2.62;2.72;2.96;3.30;3.99;4.38;4.63
09/18/01;2.34;2.48;2.56;2.69;2.96;3.31;4.01;4.46;4.72
09/19/01;2.00;2.19;2.33;2.49;2.81;3.18;3.90;4.41;4.69
09/20/01;2.04;2.22;2.38;2.56;2.91;3.27;3.97;4.47;4.75
09/21/01;2.12;2.25;2.34;2.53;2.91;3.27;3.94;4.43;4.70
09/24/01;2.38;2.38;2.39;2.56;2.94;3.30;4.00;4.47;4.73
09/25/01;2.58;2.40;2.37;2.51;2.88;3.25;3.97;4.45;4.72
09/26/01;2.51;2.38;2.34;2.48;2.82;3.18;3.91;4.39;4.65
09/27/01;2.34;2.38;2.31;2.43;2.78;3.15;3.87;4.33;4.58
09/28/01;2.28;2.40;2.36;2.49;2.86;3.22;3.93;4.37;4.60
10/01/01;2.26;2.37;2.37;2.47;2.82;3.18;3.90;4.33;4.55
10/02/01;2.27;2.26;2.27;2.43;2.77;3.14;3.87;4.31;4.53
10/03/01;2.21;2.23;2.24;2.38;2.77;3.14;3.86;4.29;4.50
10/04/01;2.22;2.21;2.21;2.37;2.75;3.14;3.88;4.29;4.53
10/05/01;2.21;2.19;2.18;2.33;2.71;3.10;3.87;4.26;4.52
10/09/01;2.24;2.22;2.20;2.35;2.74;3.16;3.96;4.35;4.62
10/10/01;2.30;2.22;2.20;2.35;2.78;3.19;3.96;4.35;4.61
10/11/01;2.30;2.27;2.26;2.44;2.88;3.30;4.03;4.43;4.69
10/12/01;2.31;2.25;2.24;2.40;2.81;3.23;4.01;4.41;4.68
10/15/01;2.33;2.25;2.22;2.39;2.78;3.18;3.97;4.36;4.62
10/16/01;2.32;2.22;2.20;2.37;2.77;3.16;3.93;4.32;4.59
10/17/01;2.34;2.22;2.20;2.37;2.80;3.21;3.93;4.32;4.59
10/18/01;2.28;2.19;2.19;2.36;2.77;3.18;3.93;4.32;4.58
10/19/01;2.29;2.19;2.17;2.34;2.77;3.19;3.96;4.37;4.63
10/22/01;2.29;2.22;2.18;2.35;2.79;3.22;3.98;4.37;4.63
10/23/01;2.32;2.20;2.16;2.37;2.81;3.24;4.01;4.40;4.66
10/24/01;2.30;2.17;2.13;2.32;2.72;3.15;3.96;4.34;4.61
10/25/01;2.27;2.14;2.09;2.26;2.63;3.06;3.89;4.29;4.56
10/26/01;2.26;2.14;2.09;2.26;2.63;3.06;3.88;4.26;4.53
10/29/01;2.24;2.09;2.04;2.18;2.55;2.99;3.82;4.22;4.50
10/30/01;2.17;2.05;1.97;2.11;2.48;2.92;3.76;4.14;4.44
10/31/01;2.15;2.05;1.95;2.07;2.44;2.87;3.66;4.03;4.30
11/01/01;2.18;2.06;1.99;2.10;2.49;2.91;3.66;4.01;4.24
11/02/01;2.09;2.01;1.94;2.07;2.48;2.93;3.77;4.12;4.37
11/05/01;2.06;2.01;1.96;2.05;2.46;2.91;3.71;4.07;4.31
11/06/01;1.98;1.85;1.83;1.97;2.37;2.76;3.54;4.03;4.30
11/07/01;1.93;1.80;1.75;1.93;2.32;2.70;3.47;3.95;4.22
11/08/01;1.93;1.84;1.80;2.00;2.42;2.81;3.58;4.05;4.32
11/09/01;1.92;1.83;1.82;2.02;2.45;2.86;3.62;4.09;4.34
11/13/01;1.94;1.84;1.86;2.07;2.54;2.96;3.69;4.17;4.41
11/14/01;1.99;1.87;1.90;2.13;2.70;3.11;3.83;4.31;4.54
11/15/01;1.99;1.92;2.01;2.34;2.98;3.41;4.10;4.58;4.79
11/16/01;2.02;1.95;2.06;2.41;3.09;3.55;4.24;4.72;4.91
11/19/01;2.02;1.94;2.00;2.31;2.92;3.38;4.12;4.58;4.80
11/20/01;2.02;1.95;1.99;2.31;2.96;3.41;4.17;4.66;4.88
11/21/01;2.00;1.96;2.02;2.38;3.11;3.58;4.31;4.78;4.98
11/23/01;2.00;1.95;2.02;2.41;3.20;3.68;4.40;4.83;5.04
11/26/01;2.00;1.98;2.04;2.43;3.22;3.70;4.41;4.85;5.05
11/27/01;2.01;1.92;1.98;2.36;3.11;3.58;4.32;4.77;4.98
